Tenative Final,position,rating,nationality,club,gender,age,player_image,image_source_url,image_credit
Kylian Mbappé,ST,91,France,Real Madrid,male,25,kylian-mbappe.jpg,https://www.laliga.com/en-GB/player/kylian-mbappe-lottin,laliga
Jude Bellingham,CAM,90,England,Real Madrid,male,21,jude-bellingham.jpg,https://commons.wikimedia.org/wiki/File:Jude_Bellingham_2022-11-21_1.jpg,"Tasnim News Agency, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Vini Jr.,LW,90,Brazil,Real Madrid,male,24,vini-jr.jpg,https://commons.wikimedia.org/wiki/File:Vinicius_Jr_2021.jpg,"Real Madrid, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Thibaut Courtois,GK,89,Belgium,Real Madrid,male,32,thibaut-courtois.jpg,https://commons.wikimedia.org/wiki/File:Thibaut_Courtois_WC2022.jpg,"Tasnim News Agency, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Federico Valverde,CM,88,Uruguay,Real Madrid,male,26,federico-valverde.jpg,https://commons.wikimedia.org/wiki/File:20171114_AUT_URU_7801_(cropped).jpg,"Ailura, CC BY-SA 3.0 AT, CC BY-SA 3.0 AT <https://creativecommons.org/licenses/by-sa/3.0/at/deed.en>, via Wikimedia Commons"
Antonio Rüdiger,CB,88,Germany,Real Madrid,male,31,antonio-rudiger.jpg,https://commons.wikimedia.org/wiki/File:20180602_FIFA_Friendly_Match_Austria_vs._Germany_Antonio_R%C3%BCdiger_850_0711.jpg,"Granada, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Rodrygo,RW,86,Brazil,Real Madrid,male,23,rodrygo.jpg,https://commons.wikimedia.org/wiki/File:F2_real_madrid_(cropped).jpg,"Real Madrid, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Luka Modrić,CM,86,Croatia,Real Madrid,male,39,luka-modric.jpg,https://commons.wikimedia.org/wiki/File:Luka_Modric_2015.jpg,"Football.ua, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Carvajal,RB,86,Spain,Real Madrid,male,32,carvajal.jpg,https://commons.wikimedia.org/wiki/File:UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Dani_Carvajal_10.jpg,"Rolandhino1, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
David Alaba,CB,85,Austria,Real Madrid,male,32,david-alaba.jpg,https://commons.wikimedia.org/wiki/File:David_Alaba_9004.JPG,"Ailura, CC BY-SA 3.0 AT <https://creativecommons.org/licenses/by-sa/3.0/at/deed.en>, via Wikimedia Commons"
Éder Militão,CB,85,Brazil,Real Madrid,male,26,eder-militao.jpg,https://commons.wikimedia.org/wiki/File:%C3%89der_Gabriel_Milit%C3%A3o_-_Final_da_Copa_Am%C3%A9rica_2019.jpg,"Palácio do Planalto, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Aurélien Tchouaméni,CDM,85,France,Real Madrid,male,24,aurelien-tchouameni.jpg,https://commons.wikimedia.org/wiki/File:Aur%C3%A9lien_Tchouam%C3%A9ni.jpg,"Кирилл Венедиктов, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Ferland Mendy,LB,84,France,Real Madrid,male,29,ferland-mendy.jpg,https://commons.wikimedia.org/wiki/File:Ferland_Mendy_2017.jpg,"Laura Jonin, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Eduardo Camavinga,CM,83,France,Real Madrid,male,21,eduardo-camavinga.jpg,https://commons.wikimedia.org/wiki/File:Ofrenda_de_la_Liga_y_la_Champions-13-L.Mill%C3%A1n_(52109790215)_(cropped).jpg,"Fotografías Archimadrid.es, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Brahim,CAM,82,Morocco,Real Madrid,male,25,brahim.jpg,https://commons.wikimedia.org/wiki/File:FC_Salzburg_gegen_Manchester_City_FC_(U19_8._Februar_2017)_10.jpg,"Werner100359, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Andriy Lunin,GK,81,Ukraine,Real Madrid,male,25,andriy-lunin.jpg,https://commons.wikimedia.org/wiki/File:Andriy_Lunin.jpg,"Football.ua, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Lucas Vázquez,RB,81,Spain,Real Madrid,male,33,lucas-vazquez.jpg,https://commons.wikimedia.org/wiki/File:CSKA-RM18_(6).jpg,"Антон Зайцев, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Dani Ceballos,CM,79,Spain,Real Madrid,male,28,dani-ceballos.jpg,https://commons.wikimedia.org/wiki/File:Dani_Ceballos.jpg,"Антон Зайцев, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
